
Numero tabelle: 550271

Numero medio righe: 18.203808668819544

Numero medio colonne: 4.377555786149006

Numero medio valori nulli per tabella: 1.4538291132914509E-5

Distribuzione numero di righe:
1 tabelle hanno 2048 righe
1 tabelle hanno 3 righe
40509 tabelle hanno 4 righe
42468 tabelle hanno 5 righe
53420 tabelle hanno 6 righe
1 tabelle hanno 2054 righe
60894 tabelle hanno 7 righe
40098 tabelle hanno 8 righe
35028 tabelle hanno 9 righe
29135 tabelle hanno 10 righe
27697 tabelle hanno 11 righe
1 tabelle hanno 1035 righe
19047 tabelle hanno 12 righe
19009 tabelle hanno 13 righe
13361 tabelle hanno 14 righe
1 tabelle hanno 1038 righe
12609 tabelle hanno 15 righe
10073 tabelle hanno 16 righe
11848 tabelle hanno 17 righe
7711 tabelle hanno 18 righe
8266 tabelle hanno 19 righe
1 tabelle hanno 1043 righe
6125 tabelle hanno 20 righe
7385 tabelle hanno 21 righe
5498 tabelle hanno 22 righe
5989 tabelle hanno 23 righe
1 tabelle hanno 1047 righe
5017 tabelle hanno 24 righe
5173 tabelle hanno 25 righe
3987 tabelle hanno 26 righe
3670 tabelle hanno 27 righe
1 tabelle hanno 1051 righe
3341 tabelle hanno 28 righe
3175 tabelle hanno 29 righe
1 tabelle hanno 1053 righe
2736 tabelle hanno 30 righe
3221 tabelle hanno 31 righe
2785 tabelle hanno 32 righe
3044 tabelle hanno 33 righe
2601 tabelle hanno 34 righe
2338 tabelle hanno 35 righe
2117 tabelle hanno 36 righe
2143 tabelle hanno 37 righe
1728 tabelle hanno 38 righe
1672 tabelle hanno 39 righe
1483 tabelle hanno 40 righe
1560 tabelle hanno 41 righe
1248 tabelle hanno 42 righe
1218 tabelle hanno 43 righe
1211 tabelle hanno 44 righe
1123 tabelle hanno 45 righe
1051 tabelle hanno 46 righe
1021 tabelle hanno 47 righe
946 tabelle hanno 48 righe
908 tabelle hanno 49 righe
831 tabelle hanno 50 righe
1048 tabelle hanno 51 righe
1 tabelle hanno 1075 righe
847 tabelle hanno 52 righe
959 tabelle hanno 53 righe
790 tabelle hanno 54 righe
729 tabelle hanno 55 righe
649 tabelle hanno 56 righe
582 tabelle hanno 57 righe
611 tabelle hanno 58 righe
559 tabelle hanno 59 righe
528 tabelle hanno 60 righe
568 tabelle hanno 61 righe
1 tabelle hanno 1085 righe
496 tabelle hanno 62 righe
439 tabelle hanno 63 righe
484 tabelle hanno 64 righe
444 tabelle hanno 65 righe
455 tabelle hanno 66 righe
1 tabelle hanno 1090 righe
391 tabelle hanno 67 righe
424 tabelle hanno 68 righe
371 tabelle hanno 69 righe
381 tabelle hanno 70 righe
384 tabelle hanno 71 righe
1 tabelle hanno 3143 righe
381 tabelle hanno 72 righe
296 tabelle hanno 73 righe
1 tabelle hanno 2121 righe
310 tabelle hanno 74 righe
306 tabelle hanno 75 righe
342 tabelle hanno 76 righe
271 tabelle hanno 77 righe
269 tabelle hanno 78 righe
264 tabelle hanno 79 righe
240 tabelle hanno 80 righe
261 tabelle hanno 81 righe
264 tabelle hanno 82 righe
239 tabelle hanno 83 righe
248 tabelle hanno 84 righe
1 tabelle hanno 2132 righe
213 tabelle hanno 85 righe
225 tabelle hanno 86 righe
199 tabelle hanno 87 righe
188 tabelle hanno 88 righe
1 tabelle hanno 2136 righe
186 tabelle hanno 89 righe
201 tabelle hanno 90 righe
185 tabelle hanno 91 righe
2 tabelle hanno 1115 righe
199 tabelle hanno 92 righe
191 tabelle hanno 93 righe
181 tabelle hanno 94 righe
173 tabelle hanno 95 righe
175 tabelle hanno 96 righe
168 tabelle hanno 97 righe
163 tabelle hanno 98 righe
146 tabelle hanno 99 righe
141 tabelle hanno 100 righe
327 tabelle hanno 101 righe
4912 tabelle hanno 102 righe
152 tabelle hanno 103 righe
129 tabelle hanno 104 righe
145 tabelle hanno 105 righe
139 tabelle hanno 106 righe
128 tabelle hanno 107 righe
117 tabelle hanno 108 righe
137 tabelle hanno 109 righe
117 tabelle hanno 110 righe
118 tabelle hanno 111 righe
123 tabelle hanno 112 righe
120 tabelle hanno 113 righe
126 tabelle hanno 114 righe
114 tabelle hanno 115 righe
